tmdb_id,title,release_year,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,director,cast,imdb_id,original_language,status
1062722,Frankenstein,2025,2025-10-17,150,120000000,144496,7.875,1453,582.9067,"['Drama', 'Horror', 'Fantasy']",Guillermo del Toro,"['Oscar Isaac', 'Jacob Elordi', 'Christoph Waltz', 'Mia Goth', 'Felix Kammerer', 'Charles Dance', 'David Bradley', 'Lars Mikkelsen', 'Christian Convery', 'Nikolaj Lie Kaas', 'Kyle Gatehouse', 'Lauren Collins', 'Sofia Galasso', 'Joachim Fjelstrup', 'Ralph Ineson', 'Peter Millard', 'Peter MacNeill', 'Burn Gorman', 'Sean Sullivan', 'Stuart Hughes', 'Gord Rand', 'Kenton Craig', 'Val Ovtcharov', 'Anders Yates', 'Adam Brown', 'Santiago Segura', 'Dexter Stokes-Mellor', 'Shian Denovan', 'Mark Steger', 'Rafe Harwood', 'Gregory Mann', 'Roberto Campanella', 'Rebecca Lawson-Turner', 'Warren Albert', 'Kim Morgan', 'Chris Andrews', 'Lewis Landini', 'William John Banks', 'Tess Letham', 'Alexandros Beshonges', 'Maria Peneva', 'Kieran Brown', 'Jessica Roberts Smith', 'Rachel Elderkin', 'Jennifer Steele', 'Jorja Follina', 'Malcolm Sutherland', 'Alex Henderson', 'Luke Watson', 'Yasmin Hepburn', 'Pawel Wieczorek']",tt1312221,en,Released
1054867,One Battle After Another,2025,2025-09-23,162,130000000,200300000,7.606,1420,414.7432,"['Action', 'Thriller', 'Crime']",Paul Thomas Anderson,"['Leonardo DiCaprio', 'Sean Penn', 'Chase Infiniti', 'Benicio del Toro', 'Regina Hall', 'Teyana Taylor', 'Wood Harris', 'Tony Goldwyn', 'D.W. Moffett', 'Paul Grimstad', 'Dijon', 'Kevin Tighe', 'John Hoogenakker', 'Eric Schweig', 'April Grace', 'Jim Downey', 'Alana Haim', 'Shayna McHayle', 'Brooklyn Demme', 'Sachi Diserafino', 'Melissa Dueñas', 'Starletta DuPois', 'Vanessa Ganter', 'Otillia Gupta', 'Nia Leon', 'Peter N. Lyas III', 'Joe Silva', 'Jeffrey Massagli', 'Nicole J. Sunseri', 'Tisha Sloan', 'Alberto Garcia', 'Antonio Tadeo Garcia', 'Patricia Ridgely-Storm', 'Ted McCarthy', 'Jeremy Boone', 'James Raterman', 'Bryan Pickens', 'Travis Johnston', 'Matthew Demildt', 'Jason Belford', 'Matthew McDonnell', 'Jose L Barreiro', 'Quentin L. Carter', 'Brian Bishop', 'Daniel Zinoviev', 'Steven Knoll', 'Sam Hunter', 'Louis Hoffman', 'Steven P. Jacobson', 'Justin Millmore', 'Peter Sutherland', 'Carlos McFarland', 'Colton Gantt', 'Elisabeth Pease', 'Autumn Crosswhite', 'Mickey Giacomazzi', 'Omar Khattab', 'Stephanie Coker Aderonokun', 'Kayla Harvey', 'Kimberlyn Ramirez Moreno', 'Sydney Ann Taylor', 'Maria Fernanda Jimenez Nava', 'Jena Malone', 'Dan Chariton', 'Sandra Iturbe', 'Marisela Borjas Ramirez', 'Derrick J. Saenz', 'Esperanza Rodarte De Santoyo', 'Hadasa Genesaret Palomares', 'Gilberto Martinez Jr.', 'Luis Trejo', 'Julian Corral', 'Elijah Joseph Sambrano', 'Sherron Gassoway', 'Pearl Minnie Anderson', 'Sister Kate', 'Sister Halla', 'Sister Lilly', 'Sister Esme', 'Sister Karina', 'Sister Laura', 'Sister Delphi', 'Sister Yuka', 'Bella Feinstein', 'Madison Feinstein', 'Tuesday Hansen', 'Zoe Herschlag', 'J. Izon', 'Joanna Scott Satterwhite', 'Robert Sherock', 'Lynette M. Telles', 'Pamela Limbaugh-Brouhard', 'Antonio Garcia', 'Emilio Carranza', 'Juan V. Ramirez', 'Ron Bermudez Perea', 'Edith Ascencion', 'David Reynoso', 'Timothy Cruz Kravitz', 'Jon Beavers', 'Anthony Weise', 'Satheesh Kumar G']",tt30144839,en,Released
1248226,Playdate,2025,2025-11-05,95,0,0,6.5,177,396.6845,"['Action', 'Comedy', 'Family']",Luke Greenfield,"['Kevin James', 'Alan Ritchson', 'Sarah Chalke', 'Isla Fisher', 'Alan Tudyk', 'Stephen Root', 'Benjamin Pajak', 'Banks Pierce', 'Jason William Day', 'Hiro Kanagawa', ""Kiefer O'Reilly"", 'Chase Petriw', 'Lauren Bradley', 'Sarah Surh', 'AJ Kostynick', 'Sabrina Elba', 'Massiel Taveras', 'Miles Fisher', 'Kurt Long', 'Kalyn Harper', 'Luke Greenfield', 'Peter New', 'Benjamin Goas', 'Elenna Anastacio', 'Kian Pitman', 'Patti Gervan', 'Chase Nicholson', 'Beth Greenfield', 'Tess Atkins', 'Amanda Vredegoor', 'Aron Cihelka', 'Simon Turner', 'Pedram Younesi', 'Cameron Michael Hallman', 'Xavier Morrison', 'Callum Volman', 'Kairo Ellis', 'Haven Markus', 'Kalayna Kozak', 'James Song', 'Christina Rivington', 'Sarah Hayward', 'Francisca Dennis', 'Anthony Bailey', 'Paul Walter Hauser']",tt31425731,en,Released
1116465,A Legend,2024,2024-07-05,129,0,11242056,6.325,63,322.4436,"['Action', 'Adventure', 'Fantasy']",Stanley Tong Gwai-Lai,"['Jackie Chan', 'Zhang Yixing', 'Gulnezer Bextiyar', 'Aarif Rahman', 'Jerry Lee', 'Peng Xiaoran', 'Shawn Dou', 'Zheng Yecheng', 'Ma Yuan', 'Ray Lui', 'Jin Qiaoqiao', 'Ma Yanli', 'Jia Bing', 'Stanley Tong Gwai-Lai', 'Kim Hee-seon', 'Alan Dawa Dolma', 'Max Huang', 'Bassem Khayati', 'Wang Yanlin', 'Peng Xiaoran', 'Zheng Yecheng', 'Erfan Aziz']",tt27589902,zh,Released
1242898,Predator: Badlands,2025,2025-11-05,107,105000000,136304860,7.4,342,263.6485,"['Action', 'Science Fiction', 'Adventure']",Dan Trachtenberg,"['Elle Fanning', 'Dimitrius Schuster-Koloamatangi', 'Rohinal Nayaran', 'Michael Homick', 'Stefan Grube', 'Reuben De Jong', 'Cameron Brown', 'Alison Wright', 'Matt Duffer', 'Ross Duffer']",tt31227572,en,Released
1128650,The Prosecutor,2024,2024-12-08,117,38500000,128093757,7.476,105,236.1069,"['Action', 'Drama', 'Crime', 'Thriller']",Donnie Yen,"['Donnie Yen', 'Francis Ng Chun-Yu', 'Julian Cheung Chi-Lam', 'Kent Cheng Jak-Si', 'Michael Hui Koon-Man', 'Lau Kong', 'Mason Fung Ho-Yeung', 'MC Cheung', 'Yu Kang', 'Adam Pak Tin-Nam', 'Locker Lam Ka-Hei', 'Tommy Chu Pak-Hong', 'Shirley Chan Yan-Yin', 'Ray Lui', 'Mark Cheng Ho-Nam', 'Justin Cheung Kin-Sing', 'Liza Wong Ming-Chuen', 'Sisley Choi Si-Pui', 'Mandy Wong', 'Leung Chung-Hang', 'Max Cheung Tat-Lun', 'Yuen Yee-Man', 'Koji Nakamura', 'Philip Chan', 'German Cheung Man-Kit', 'Li Kit-Wa']",tt30024043,zh,Released
755898,War of the Worlds,2025,2025-07-29,91,0,0,4.334,718,196.7119,"['Science Fiction', 'Thriller']",Rich Lee,"['Ice Cube', 'Eva Longoria', 'Clark Gregg', 'Iman Benson', 'Henry Hunter Hall', 'Devon Bostick', 'Andrea Savage', 'Nicole Pulliam', ""Michael O'Neill"", 'Jim Meskimen']",tt13186306,en,Released
1197137,Black Phone 2,2025,2025-10-15,114,30000000,127722175,7.091,502,167.6059,"['Horror', 'Thriller']",Scott Derrickson,"['Ethan Hawke', 'Mason Thames', 'Madeleine McGraw', 'Demián Bichir', 'Miguel Mora', 'Jeremy Davies', 'Arianna Rivas', 'Maev Beaty', 'Graham Abbey', 'James Ransone', 'Anna Lore', 'Simon Webster', 'Shepherd Munroe', 'Chase B. Robertson', 'Dexter Bolduc', 'Jazlyn Wong-Lee', 'Julien Norman', 'Jacob Moran']",tt29644189,en,Released
425274,Now You See Me: Now You Don't,2025,2025-11-12,112,90000000,77900000,6.7,128,160.4002,"['Thriller', 'Crime', 'Mystery']",Ruben Fleischer,"['Jesse Eisenberg', 'Isla Fisher', 'Woody Harrelson', 'Dave Franco', 'Rosamund Pike', 'Justice Smith', 'Dominic Sessa', 'Ariana Greenblatt', 'Morgan Freeman', 'Thabang Kamogelo Molaba', 'Lizzy Caplan', 'Mark Ruffalo', 'Dominic Allburn', 'Andrew Santino', 'Sebastian Eugene Hansen', 'Paisley Day Herrera', 'Myah Banton', 'Ricky Velez', 'Henry Fisher', 'Ben Seidman', 'Lyssandra Skye Arias', 'William Gaminara', 'Angela Paula Stander', 'Scott Alexander Young', 'Amber Kemp', 'Luca Besse', 'Lionel Desmazon', 'David Fleischer', 'Tayla Kovacevic-Ebong', 'Bobby Holland Hanton', 'Mali McEwan']",tt4712810,en,Released
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,2025-07-18,156,20000000,740400000,7.803,538,159.113,"['Animation', 'Action', 'Fantasy', 'Thriller']",Haruo Sotozaki,"['Natsuki Hanae', 'Hiro Shimono', 'Takahiro Sakurai', 'Akira Ishida', 'Yoshitsugu Matsuoka', 'Toshihiko Seki', 'Reina Ueda', 'Nobuhiko Okamoto', 'Katsuyuki Konishi', 'Akari Kito', 'Kengo Kawanishi', 'Saori Hayami', 'Kana Hanazawa', 'Kenichi Suzumura', 'Tomokazu Sugita', 'Ryotaro Okiayu', 'Mamoru Miyano', 'Yoshimasa Hosoya', 'Yuichi Nakamura', 'Lynn', 'Daiki Yamashita', 'Hochu Otsuka', 'Toshiyuki Morikawa', 'Shin-ichiro Miki', 'Shigeru Chiba']",tt32820897,ja,Released
